,0,1
0,#7495,1
1,#3953,2
2,#9606,3
3,#8811,4
4,#7616,5
5,#4873,6
6,#8135,7
7,#73,8
8,#4980,9
9,#7449,10
10,#3749,11
11,#446,12
12,#8976,13
13,#7265,14
14,#2794,15
15,#8817,16
16,#3483,17
17,#5840,18
18,#8854,19
19,#6819,20
20,#5515,21
21,#236,22
22,#5757,23
23,#7740,24
24,#2646,25
25,#8552,26
26,#2488,27
27,#8877,28
28,#528,29
29,#7754,30
30,#208,31
31,#8633,32
32,#544,33
33,#4177,34
34,#6459,35
35,#7940,36
36,#6388,37
37,#6250,38
38,#5031,39
39,#7678,40
40,#2986,41
41,#2402,42
42,#5968,43
43,#4151,44
44,#9315,45
45,#2731,46
46,#252,47
47,#1135,48
48,#5809,49
49,#2980,50
50,#949,51
51,#9361,52
52,#2087,53
53,#5953,54
54,#1459,55
55,#334,56
56,#3671,57
57,#7130,58
58,#5708,59
59,#5233,60
60,#3730,61
61,#7090,62
62,#2746,63
63,#3105,64
64,#5491,65
65,#6207,66
66,#5230,67
67,#1614,68
68,#3287,69
69,#197,70
70,#7398,71
71,#4418,72
72,#481,73
73,#6858,74
74,#6054,75
75,#2651,76
76,#7345,77
77,#2489,78
78,#2550,79
79,#793,80
80,#8097,81
81,#1229,82
82,#7253,83
83,#4042,84
84,#4882,85
85,#9796,86
86,#7725,87
87,#8746,88
88,#8185,89
89,#2223,90
90,#7658,91
91,#6022,92
92,#4899,93
93,#7071,94
94,#6269,95
95,#8544,96
96,#3009,97
97,#2432,98
98,#5353,99
99,#8235,100
100,#1276,101
101,#8333,102
102,#3609,103
103,#5093,104
104,#6865,105
105,#682,106
106,#8522,107
107,#6944,108
108,#4889,109
109,#8650,110
110,#1169,111
111,#4814,112
112,#2100,113
113,#2177,114
114,#8132,115
115,#6160,116
116,#3722,117
117,#5486,118
118,#6633,119
119,#7017,120
120,#4959,121
121,#7039,122
122,#3756,123
123,#5069,124
124,#9227,125
125,#2236,126
126,#6590,127
127,#4614,128
128,#5199,129
129,#8921,130
130,#2073,131
131,#650,132
132,#557,133
133,#2990,134
134,#1637,135
135,#8592,136
136,#242,137
137,#8461,138
138,#4300,139
139,#7653,140
140,#8448,141
141,#6833,142
142,#4400,143
143,#3785,144
144,#6127,145
145,#3149,146
146,#66,147
147,#4961,148
148,#7612,149
149,#8173,150
150,#6805,151
151,#9234,152
152,#6473,153
153,#4887,154
154,#5929,155
155,#2089,156
156,#6964,157
157,#9882,158
158,#2130,159
159,#8824,160
160,#337,161
161,#204,162
162,#3275,163
163,#3829,164
164,#3374,165
165,#9542,166
166,#3284,167
167,#3928,168
168,#8289,169
169,#8646,170
170,#118,171
171,#8775,172
172,#4231,173
173,#8082,174
174,#441,175
175,#457,176
176,#3046,177
177,#7728,178
178,#2617,179
179,#6677,180
180,#3439,181
181,#5428,182
182,#3563,183
183,#5615,184
184,#7236,185
185,#8861,186
186,#7539,187
187,#1989,188
188,#623,189
189,#1787,190
190,#5211,191
191,#8478,192
192,#2939,193
193,#2291,194
194,#8436,195
195,#2800,196
196,#5315,197
197,#3410,198
198,#743,199
199,#7800,200
200,#8664,201
201,#2204,202
202,#9175,203
203,#4776,204
204,#4844,205
205,#6445,206
206,#7244,207
207,#1734,208
208,#613,209
209,#5576,210
210,#768,211
211,#8274,212
212,#5130,213
213,#5904,214
214,#9052,215
215,#811,216
216,#4583,217
217,#9781,218
218,#5774,219
219,#9351,220
220,#4489,221
221,#4746,222
222,#5383,223
223,#7565,224
224,#2897,225
225,#9867,226
226,#2599,227
227,#6694,228
228,#534,229
229,#1726,230
230,#9455,231
231,#9572,232
232,#8848,233
233,#2326,234
234,#8539,235
235,#5800,236
236,#4572,237
237,#1293,238
238,#5847,239
239,#9317,240
240,#1677,241
241,#1837,242
242,#4064,243
243,#3235,244
244,#2108,245
245,#4580,246
246,#8236,247
247,#1562,248
248,#3529,249
249,#7218,250
250,#6059,251
251,#9887,252
252,#4922,253
253,#9941,254
254,#9120,255
255,#9135,256
256,#7026,257
257,#9859,258
258,#5713,259
259,#5742,260
260,#8590,261
261,#1426,262
262,#1043,263
263,#3317,264
264,#3398,265
265,#3370,266
266,#416,267
267,#4749,268
268,#729,269
269,#7156,270
270,#4244,271
271,#9880,272
272,#861,273
273,#8736,274
274,#5227,275
275,#281,276
276,#1084,277
277,#7076,278
278,#8580,279
279,#1580,280
280,#6641,281
281,#7363,282
282,#4067,283
283,#8438,284
284,#802,285
285,#7119,286
286,#469,287
287,#2004,288
288,#8256,289
289,#8991,290
290,#4448,291
291,#5107,292
292,#3465,293
293,#7527,294
294,#6028,295
295,#6318,296
296,#9564,297
297,#6146,298
298,#1417,299
299,#3863,300
300,#8513,301
301,#9452,302
302,#3415,303
303,#6606,304
304,#4691,305
305,#1119,306
306,#830,307
307,#8714,308
308,#7681,309
309,#546,310
310,#138,311
311,#2189,312
312,#1100,313
313,#6776,314
314,#7863,315
315,#8422,316
316,#7257,317
317,#567,318
318,#7102,319
319,#8477,320
320,#6756,321
321,#5589,322
322,#5374,323
323,#232,324
324,#9990,325
325,#246,326
326,#4485,327
327,#7228,328
328,#9104,329
329,#5116,330
330,#761,331
331,#9758,332
332,#376,333
333,#5312,334
334,#6925,335
335,#8948,336
336,#7901,337
337,#189,338
338,#5250,339
339,#2350,340
340,#8748,341
341,#4281,342
342,#1024,343
343,#9583,344
344,#4734,345
345,#9186,346
346,#8519,347
347,#185,348
348,#1212,349
349,#2198,350
350,#3678,351
351,#8800,352
352,#2965,353
353,#2772,354
354,#3804,355
355,#4150,356
356,#1201,357
357,#9737,358
358,#3356,359
359,#9841,360
360,#6365,361
361,#5566,362
362,#2743,363
363,#6848,364
364,#8005,365
365,#2587,366
366,#2472,367
367,#1779,368
368,#6061,369
369,#1180,370
370,#5597,371
371,#4101,372
372,#3160,373
373,#4515,374
374,#6584,375
375,#1189,376
376,#8827,377
377,#950,378
378,#9094,379
379,#1359,380
380,#1450,381
381,#3521,382
382,#6128,383
383,#8658,384
384,#1199,385
385,#1405,386
386,#5232,387
387,#9861,388
388,#6572,389
389,#9777,390
390,#4777,391
391,#6172,392
392,#4907,393
393,#6083,394
394,#5895,395
395,#8624,396
396,#520,397
397,#7403,398
398,#3432,399
399,#5754,400
400,#5132,401
401,#6243,402
402,#1656,403
403,#8739,404
404,#9745,405
405,#5982,406
406,#7581,407
407,#2623,408
408,#7739,409
409,#9463,410
410,#5942,411
411,#1630,412
412,#7647,413
413,#1882,414
414,#9028,415
415,#3610,416
416,#1018,417
417,#8454,418
418,#2539,419
419,#7061,420
420,#7485,421
421,#6643,422
422,#8585,423
423,#9181,424
424,#1663,425
425,#9214,426
426,#5050,427
427,#4189,428
428,#2540,429
429,#4025,430
430,#8476,431
431,#8131,432
432,#6841,433
433,#5802,434
434,#132,435
435,#6226,436
436,#146,437
437,#7319,438
438,#2173,439
439,#350,440
440,#1,441
441,#6034,442
442,#8886,443
443,#2019,444
444,#6814,445
445,#8023,446
446,#6780,447
447,#2946,448
448,#7054,449
449,#8133,450
450,#5243,451
451,#5135,452
452,#3072,453
453,#8666,454
454,#265,455
455,#7948,456
456,#8058,457
457,#565,458
458,#9395,459
459,#7287,460
460,#110,461
461,#2506,462
462,#6156,463
463,#9311,464
464,#9728,465
465,#7478,466
466,#7724,467
467,#7342,468
468,#9637,469
469,#4781,470
470,#6657,471
471,#4890,472
472,#1929,473
473,#683,474
474,#1207,475
475,#6873,476
476,#563,477
477,#991,478
478,#9793,479
479,#1878,480
480,#4058,481
481,#5083,482
482,#3762,483
483,#7163,484
484,#3748,485
485,#3967,486
486,#8986,487
487,#860,488
488,#4783,489
489,#4616,490
490,#8637,491
491,#8286,492
492,#1124,493
493,#4946,494
494,#4458,495
495,#1725,496
496,#8845,497
497,#4173,498
498,#2072,499
499,#6049,500
500,#1917,501
501,#3068,502
502,#8339,503
503,#6255,504
504,#1120,505
505,#3740,506
506,#5501,507
507,#2107,508
508,#1657,509
509,#7108,510
510,#6402,511
511,#6249,512
512,#2755,513
513,#1324,514
514,#2276,515
515,#1230,516
516,#9262,517
517,#212,518
518,#2624,519
519,#5178,520
520,#3514,521
521,#2220,522
522,#6969,523
523,#8183,524
524,#8574,525
525,#4945,526
526,#7756,527
527,#8764,528
528,#7834,529
529,#9343,530
530,#1005,531
531,#5456,532
532,#4985,533
533,#2156,534
534,#4687,535
535,#5587,536
536,#2733,537
537,#6023,538
538,#901,539
539,#9115,540
540,#4185,541
541,#5552,542
542,#5712,543
543,#4715,544
544,#309,545
545,#2909,546
546,#2661,547
547,#7621,548
548,#159,549
549,#2271,550
550,#4357,551
551,#5376,552
552,#4415,553
553,#6591,554
554,#1307,555
555,#1822,556
556,#2967,557
557,#7097,558
558,#4599,559
559,#4135,560
560,#3405,561
561,#872,562
562,#7624,563
563,#8577,564
564,#3892,565
565,#8905,566
566,#9197,567
567,#7069,568
568,#288,569
569,#6306,570
570,#1310,571
571,#2175,572
572,#422,573
573,#4069,574
574,#6102,575
575,#2062,576
576,#7103,577
577,#1620,578
578,#7148,579
579,#9340,580
580,#9327,581
581,#5207,582
582,#6875,583
583,#2429,584
584,#2050,585
585,#9183,586
586,#1262,587
587,#7510,588
588,#3221,589
589,#8887,590
590,#732,591
591,#3880,592
592,#7508,593
593,#9854,594
594,#4482,595
595,#7182,596
596,#8296,597
597,#5423,598
598,#8560,599
599,#4039,600
600,#2866,601
601,#1216,602
602,#2128,603
603,#1754,604
604,#5388,605
605,#4370,606
606,#6954,607
607,#8146,608
608,#6265,609
609,#9297,610
610,#1736,611
611,#8211,612
612,#7081,613
613,#1911,614
614,#5467,615
615,#294,616
616,#3111,617
617,#3113,618
618,#4346,619
619,#2591,620
620,#1556,621
621,#6528,622
622,#5064,623
623,#6612,624
624,#120,625
625,#5949,626
626,#8607,627
627,#7531,628
628,#29,629
629,#4743,630
630,#1626,631
631,#7779,632
632,#4212,633
633,#820,634
634,#5892,635
635,#4028,636
636,#1762,637
637,#660,638
638,#4904,639
639,#8160,640
640,#7008,641
641,#7973,642
642,#3132,643
643,#591,644
644,#2920,645
645,#1401,646
646,#7317,647
647,#4355,648
648,#6605,649
649,#7136,650
650,#1323,651
651,#890,652
652,#4634,653
653,#7208,654
654,#8408,655
655,#3855,656
656,#5718,657
657,#5869,658
658,#374,659
659,#8953,660
660,#3618,661
661,#3326,662
662,#2333,663
663,#7142,664
664,#2234,665
665,#8907,666
666,#542,667
667,#8194,668
668,#7187,669
669,#1861,670
670,#6866,671
671,#1497,672
672,#456,673
673,#5711,674
674,#2822,675
675,#735,676
676,#2702,677
677,#2474,678
678,#6111,679
679,#8390,680
680,#9281,681
681,#5516,682
682,#2016,683
683,#6736,684
684,#6339,685
685,#8239,686
686,#5404,687
687,#6466,688
688,#3126,689
689,#8930,690
690,#8182,691
691,#4076,692
692,#6739,693
693,#3062,694
694,#38,695
695,#9665,696
696,#3744,697
697,#5285,698
698,#9449,699
699,#6905,700
700,#4710,701
701,#2344,702
702,#8062,703
703,#4507,704
704,#3780,705
705,#9958,706
706,#9619,707
707,#1146,708
708,#5699,709
709,#9773,710
710,#3043,711
711,#5709,712
712,#4380,713
713,#5567,714
714,#4252,715
715,#1606,716
716,#5797,717
717,#8856,718
718,#3501,719
719,#3372,720
720,#4155,721
721,#5939,722
722,#6159,723
723,#739,724
724,#9493,725
725,#55,726
726,#1913,727
727,#2441,728
728,#7796,729
729,#2118,730
730,#2994,731
731,#790,732
732,#7341,733
733,#5350,734
734,#2237,735
735,#9195,736
736,#7801,737
737,#6327,738
738,#1963,739
739,#7859,740
740,#3619,741
