,ID
0,140
1,257
2,280
3,487
4,553
5,1307
6,1343
7,1414
8,1492
9,1706
10,1882
11,2308
12,2457
13,2539
14,2571
15,2586
16,2643
17,2787
18,2879
19,3541
20,3767
21,3796
22,3897
23,3977
24,4096
25,4806
26,4813
27,4998
28,5050
29,5182
30,5228
31,6009
32,6123
33,6214
34,6310
35,6382
36,6475
37,6562
38,6653
39,6933
40,7000
41,7084
42,7255
43,7482
44,7738
45,7743
46,7770
47,7794
48,7801
49,7833
50,7847
51,8014
52,8251
53,8297
54,8367
55,8413
56,8476
57,8517
58,8520
59,8545
60,8592
61,8748
62,8756
63,8978
64,9065
65,9434
66,9454
67,9536
68,9581
69,9753
70,9806
71,9840
72,9884
