,Name_collection,N_elements,Rank,Score,Items,Price
0,boredapeyachtclub,6,6360,90.6224,6,669.0
1,boredapeyachtclub,8,3323,118.4796,6,299.99999999999994
2,boredapeyachtclub,9,3825,113.0123,7,200.0
3,boredapeyachtclub,17,2512,129.3656,7,474.00000000000006
4,boredapeyachtclub,26,6490,89.6247,6,420.69
5,boredapeyachtclub,29,629,191.0144,4,268.99999999999994
6,boredapeyachtclub,40,8506,75.8783,6,888.0
7,boredapeyachtclub,70,6829,87.3078,5,170.0
9,boredapeyachtclub,119,3014,121.9687,7,299.0
10,boredapeyachtclub,120,625,191.1538,7,266.0
11,boredapeyachtclub,126,2508,129.4055,7,159.98
12,boredapeyachtclub,132,435,205.8034,7,250.00000000000003
13,boredapeyachtclub,142,2604,127.7816,7,175.00000000000003
14,boredapeyachtclub,176,6826,87.3277,6,179.99999999999997
15,boredapeyachtclub,190,9355,68.3414,5,1599.9999999999998
16,boredapeyachtclub,192,829,180.3514,4,6969.000000000002
17,boredapeyachtclub,197,70,263.5614,6,2000.0
18,boredapeyachtclub,208,31,289.7394,7,289.0
19,boredapeyachtclub,211,766,183.5565,6,450.0
20,boredapeyachtclub,237,1599,149.0591,7,420.0
21,boredapeyachtclub,244,4077,110.6203,6,199.00000000000003
22,boredapeyachtclub,256,6158,91.9969,5,652.0
23,boredapeyachtclub,276,2623,127.4869,5,299.0
24,boredapeyachtclub,290,2705,126.3253,6,137.99999999999997
25,boredapeyachtclub,291,4803,103.2156,6,149.69
26,boredapeyachtclub,324,871,177.8486,4,260.0
27,boredapeyachtclub,339,8623,75.0276,5,182.0
28,boredapeyachtclub,358,1980,139.3221,6,369.0
29,boredapeyachtclub,376,333,217.4408,7,167.00000000000003
30,boredapeyachtclub,393,1386,155.4206,7,250.00000000000003
31,boredapeyachtclub,395,6550,89.2393,6,144.0
32,boredapeyachtclub,406,1884,141.2692,6,222.0
33,boredapeyachtclub,410,5188,99.6745,5,176.0
34,boredapeyachtclub,465,8509,75.8666,6,149.69689999999997
35,boredapeyachtclub,477,5343,98.379,6,222.0
36,boredapeyachtclub,489,4776,103.5339,6,469.0
