,Name_collection,N_elements,Rank,Score,Items,Price
0,doodles-official,9,4154,95.9342,5,35.69
1,doodles-official,10,1044,183.2842,6,39.99999999999999
2,doodles-official,13,9954,63.7994,5,32.0
3,doodles-official,22,9839,64.4379,5,29.1
5,doodles-official,32,3996,97.8107,5,42.06899999999999
6,doodles-official,39,112,821.4182,4,77.0
7,doodles-official,47,316,542.3962,3,222.22200000000004
8,doodles-official,48,1086,175.4442,6,39.0
9,doodles-official,66,3354,128.3349,6,29.660000000000004
10,doodles-official,92,6397,74.3909,5,41.0
11,doodles-official,101,3444,119.5488,5,39.99000000000001
12,doodles-official,140,4004,97.6701,5,50.0
13,doodles-official,141,3612,109.1542,5,35.99999999999999
14,doodles-official,189,384,403.4249,5,139.69
15,doodles-official,214,8009,68.2774,5,25.99
16,doodles-official,239,3501,115.4025,5,63.00000000000001
17,doodles-official,250,491,228.1142,6,35.00000000000001
18,doodles-official,257,858,195.5468,6,47.0
19,doodles-official,269,1593,153.0095,6,33.69
20,doodles-official,272,273,573.1728,3,268.99999999999994
21,doodles-official,280,160,769.0418,4,50.0
22,doodles-official,311,1032,186.1158,6,42.6
23,doodles-official,343,8746,66.6666,5,29.99000000000001
24,doodles-official,349,8477,67.1398,5,24.0
25,doodles-official,351,3950,98.351,5,24.99
26,doodles-official,357,1439,156.5898,5,59.99000000000001
27,doodles-official,363,96,918.5333,3,108.123
28,doodles-official,370,9743,64.7988,5,29.9
29,doodles-official,390,690,204.7909,6,30.0
31,doodles-official,441,8005,68.2887,5,24.555000000000003
32,doodles-official,466,9458,65.4654,5,28.68
33,doodles-official,478,2578,134.4386,6,26.989999999999995
34,doodles-official,487,1884,144.9022,6,44.99999999999999
36,doodles-official,518,5401,85.0946,5,38.88
37,doodles-official,548,4187,95.6081,5,30.0
38,doodles-official,553,7354,70.8922,5,45.55500000000001
40,doodles-official,565,1623,152.314,6,100.0
41,doodles-official,590,4998,87.3428,5,29.0
42,doodles-official,595,8921,66.3736,5,31.500000000000004
43,doodles-official,600,3455,118.7674,5,35.00000000000001
44,doodles-official,613,5370,85.3321,5,29.0
45,doodles-official,631,4253,94.6978,5,27.0
46,doodles-official,639,3854,100.7331,5,39.0
47,doodles-official,700,5123,86.6749,5,55.00000000000001
48,doodles-official,713,6428,74.2076,5,31.000000000000004
50,doodles-official,756,6073,77.935,5,27.71999999999999
51,doodles-official,786,492,228.1028,6,31.500000000000004
52,doodles-official,793,3388,124.566,5,37.8
53,doodles-official,869,1994,142.0483,6,28.8
54,doodles-official,946,7748,69.3207,5,24.89999999999999
55,doodles-official,966,664,207.2934,6,33.0
