,N_elements,Rank,Score,Items,Price,close_price_eth
5,618,4632,62.3671,2,24.99,1626.57568359375
8,1186,6436,54.763,2,48.0,3013.732666015625
10,1316,7545,50.9701,2,14.66,1935.60107421875
11,1316,7545,50.9701,2,10.5,1935.60107421875
12,1316,7545,50.9701,2,34.45,2724.619873046875
15,1633,9464,38.252,2,67.8,3319.25732421875
19,1711,451,186.7855,2,72.69,3319.25732421875
20,1711,451,186.7855,2,44.99,2827.328857421875
22,2036,9464,38.252,2,19.49,2316.0595703125
23,2036,9464,38.252,2,17.99,3785.8486328125
25,2036,9464,38.252,2,5.55,359.9378662109375
26,2036,9464,38.252,2,5.0,359.9378662109375
28,2572,7072,52.494,2,47.99,2139.353271484375
29,2572,7072,52.494,2,36.69,1716.49462890625
30,2572,7072,52.494,2,41.99,2403.53515625
31,2572,7072,52.494,2,48.0,1541.914306640625
32,2572,7072,52.494,2,44.9,2321.72412109375
34,2733,3503,65.4884,2,15.55,1935.60107421875
35,2733,3503,65.4884,2,2.3,349.3555908203125
36,2733,3503,65.4884,2,2.65,352.1832580566406
37,2733,3503,65.4884,2,0.0,3615.28271484375
39,2980,616,152.3167,2,30.0,1788.217041015625
40,2980,616,152.3167,2,27.37,1782.8551025390625
41,2980,616,152.3167,2,69.69,2561.85205078125
43,4893,3435,66.4299,2,59.45,2561.85205078125
44,4893,3435,66.4299,2,74.52,2827.328857421875
45,4893,3435,66.4299,2,84.8,3265.443359375
46,4893,3435,66.4299,2,69.0,3013.732666015625
52,6997,3435,66.4299,2,0.0,3615.28271484375
53,6997,3435,66.4299,2,0.0,3615.28271484375
56,7163,580,158.9375,2,43.0,1772.1024169921875
57,7163,580,158.9375,2,36.0,1772.1024169921875
61,8233,7304,51.8542,2,43.0,2502.349609375
62,8233,7304,51.8542,2,8.5,1805.0841064453125
65,9042,7794,50.0555,2,51.0,3157.23876953125
66,9042,7794,50.0555,2,5.0,355.159423828125
67,9042,7794,50.0555,2,0.8,136.2767791748047
68,9042,7794,50.0555,2,79.5,3172.456298828125
69,9042,7794,50.0555,2,20.98,3490.88037109375
70,9042,7794,50.0555,2,27.5,2380.956787109375
71,9042,7794,50.0555,2,1.49,387.18310546875
72,9042,7794,50.0555,2,1.05,229.39219665527344
73,9042,7794,50.0555,2,23.99,2191.373779296875
74,9042,7794,50.0555,2,0.0,3615.28271484375
75,9042,7794,50.0555,2,0.0,3615.28271484375
79,9043,3256,67.3381,2,0.25,181.35552978515625
81,9372,7072,52.494,2,0.35,172.65321350097656
82,9372,7072,52.494,2,85.0,3270.600830078125
83,9372,7072,52.494,2,30.0,2561.85205078125
84,9372,7072,52.494,2,31.0,2610.1533203125
85,9372,7072,52.494,2,8.89,1779.791015625
88,713,1894,85.7998,2,80.0,3319.25732421875
90,1623,657,151.1546,2,56.0,2536.2099609375
91,1623,657,151.1546,2,53.0,1782.8551025390625
93,1623,657,151.1546,2,37.0,2036.7210693359373
95,1859,3807,63.5709,2,0.0,3834.828125
96,1859,3807,63.5709,2,6.79,355.159423828125
97,1859,3807,63.5709,2,82.0,3224.915283203125
99,1859,3807,63.5709,2,0.4,271.69500732421875
100,1859,3807,63.5709,2,0.35,210.4889068603516
104,2473,8909,47.3371,2,0.31,135.8526611328125
108,2979,7545,50.9701,2,80.0,3224.915283203125
109,2979,7545,50.9701,2,7.99,1805.0841064453125
111,2979,7545,50.9701,2,2.89,349.3555908203125
112,2979,7545,50.9701,2,2.19,349.3555908203125
113,2979,7545,50.9701,2,6.34,1814.10986328125
115,2979,7545,50.9701,2,1.8,344.503173828125
117,3378,2464,77.9791,2,0.39,132.63348388671875
118,3378,2464,77.9791,2,0.48,143.5439910888672
119,3378,2464,77.9791,2,0.5,185.02867126464844
122,3621,9127,45.8101,2,67.47,3319.25732421875
123,3621,9127,45.8101,2,58.0,3319.25732421875
124,3621,9127,45.8101,2,56.0,3319.25732421875
125,3621,9127,45.8101,2,20.0,2088.57373046875
126,3621,9127,45.8101,2,49.69,2890.941650390625
129,3770,9127,45.8101,2,29.5,1791.7022705078125
131,3770,9127,45.8101,2,26.5,2139.664794921875
134,4198,4632,62.3671,2,67.8,3319.25732421875
135,4198,4632,62.3671,2,62.9,3319.25732421875
